아름다운
까칠한
빠른
느린
큰
작은
높은
낮은
무거운
가벼운
따뜻한
차가운
뜨거운
시원한
맛있는
달콤한
쓴
신
짠
매운
행복한
슬픈
기쁜
화난
피곤한
신나는
지루한
재미있는
재미없는
친절한
불친절한
착한
나쁜
부드러운
딱딱한
똑똑한
멍청한
깨끗한
넓은
좁은
긴
짧은
빛나는
어두운
투명한
불투명한
가득한
편안한
불편한
거친
새로운
오래된
젊은
늙은
건강한
아픈
풍부한
가난한
강한
약한
똑같은
다른
특별한
일반적인
희귀한
흔한
고요한
시끄러운
조용한
떠들썩한
유연한
단단한
빈번한
드문
정직한
거짓말하는
귀여운
무서운
안전한
위험한
편리한
유용한
쓸모없는
효과적인
흥미로운
중요한
창조적인
열정적인
적극적인
성실한
유능한
능력있는
충실한
충분한
풍성한
활기찬
활력있는
열심인
존경스러운
사랑스러운
멋진
훌륭한
놀라운
뛰어난
탁월한
독특한
혁신적인
진보적인
개방적인
긍정적인
존중하는
배려심있는
동정심있는
관대한
자비로운
고마운
감사한
행운의
용기있는
대담한
자유로운
독립적인
유익한
유리한
성공적인
생산적인
만족스러운
흥미진진한
매력적인
매혹적인
화려한
깔끔한
정교한
세련된
우아한
고급스러운
품격있는
훈훈한
친근한
친숙한
친밀한
사랑받는
인기있는
존중받는
신뢰받는
신뢰하는
보호받는
보호하는
생기있는
활발한
웃는
웃기는
침묵하는
말하는
아기자기한
애교있는
천진난만한
순진한
순수한
이쁜
예쁜
작고귀여운
뽀송한
털털한
둥근
통통한
미소짓는
발랄한
깜찍한
눈부신
반짝이는
새하얀
터프한
살랑살랑한
말랑말랑한
쫀득쫀득한
쫄깃한
푹신한
뽀얀
뽀송뽀송한
환한
반짝반짝한
삐죽삐죽한
깜빡거리는
삐뚤삐뚤한
아삭한
바삭한
촉촉한
건조한
푸짐한
향긋한
무미한
깊은
얕은
진한
연한
고소한
새콤한
담백한
톡쏘는
살짝구운
살짝익힌
노란
붉은
초록색의
다채로운
춤추는
타락한
흑화한
화려한
